what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.ui",1326666623893
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1326666623895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666623930
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1326666624243
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1326666624517
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1326666625044
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1326666625083
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1326666625090
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1326666625093
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1326666625108
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1326666625111
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1326666625114
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1326666625144
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1326666625183
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1326666625211
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1326666625230
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1326666627026
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1326666627026
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1326666627613
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1326666627671
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1326666634717
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1326666636511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666636556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666640126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666644321
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1326666646163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666646213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326666646283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666650161
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1326666652357
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1326666652397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666652424
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1326666653914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666657203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666658076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666666617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666667966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326666667999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666670249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666671424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326666671456
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1326666671541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666691110
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1326666693417
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1326666693444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666693478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666697907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666702235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666705768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666711624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326666713203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326666717020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666719614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326666720407
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1326666721479
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1326666721492
started,bundle,org.eclipse.php.server.core,3.0.0.v20110516-1100,"org.eclipse.php.server.core",1326666721525
